license_name,file_count
APL-1.0,1795
BitTorrent-1.1,1792
BitTorrent-1.0,1644
RPL-1.1,1558
NPL-1.1,1502
RPL-1.5,1410
NPL-1.0,1317
MPL-1.1,1294
SPL-1.0,1283
CUA-OPL-1.0,1280
RSCPL,1278
RHeCos-1.1,1254
ODbL-1.0,1245
Interbase-1.0,1226
RPSL-1.0,1194
NOSL,1181
SugarCRM-1.1.3,1168
Hacktivismo,1165
Motosoto,1147
OPL-1.0,1125
GPL-3.0,1071
GPL-3.0+,1055
CC-BY-SA-3.0-AT,1033
AGPL-3.0,1011
Zimbra-1.2,1010
CPAL-1.0,973
LGPL-2.1,956
MPL-1.0,950
gSOAP-1.3b,945
SNIA,940
LGPL-2.1+,935
NASA-1.3,924
GFDL-1.3,916
CC-BY-NC-ND-3.0-IGO,909
CC-BY-NC-SA-4.0,907
FreeImage,892
LGPL-2.0+,892
CC-BY-SA-4.0,891
ODC-By-1.0,879
CC-BY-NC-SA-3.0,873
LGPL-2.0,867
CDDL-1.1,857
GFDL-1.2,856
Jabber-1.0,854
CC-BY-3.0-AT,847
CDDL-1.0,846
CC-BY-SA-3.0,845
APSL-2.0,842
CC-BY-4.0,834
CC-BY-NC-4.0,833
SSPL-1.0,829
APSL-1.0,823
CC-BY-NC-ND-4.0,813
CC-BY-ND-4.0,809
Watcom-1.0,807
ErlPL-1.1,802
CC-BY-NC-3.0,799
CC-BY-NC-SA-2.5,795
CC-BY-NC-SA-2.0,787
CC-BY-3.0,780
APSL-1.1,778
CC-BY-SA-2.5,776
APSL-1.2,775
CECILL-1.1,767
CC-BY-SA-2.0,756
Citrix,754
MPL-2.0-no-copyleft-exception,734
GFDL-1.1,734
CPOL-1.02,726
CC-BY-NC-ND-3.0,718
MPL-2.0,712
LPPL-1.3c,712
CC-BY-NC-2.5,702
LPPL-1.3a,700
RCSL,699
SGI-B-1.1,697
CC-BY-ND-3.0,697
Terracotta,695
PDDL-1.0,694
CC-BY-NC-2.0,694
CC-BY-2.5,694
CC-BY-2.0,690
OSET-PL-2.1,679
SGI-B-1.0,671
CECILL-1.0,669
CC-BY-NC-ND-2.5,660
Interbase,657
CC-BY-NC-ND-2.0,644
CC-BY-ND-2.5,643
OSL-2.1,639
CC-BY-NC-SA-1.0,639
CC-BY-ND-2.0,637
Nokia,625
CC-BY-SA-1.0,622
CAL-1.0,619
GPL-2.0,587
D-FSL-1.0,581
SunJDK6,579
CC-BY-1.0,571
CC-BY-NC-1.0,561
GPL-2.0+,560
CC-BY-NC-ND-1.0,557
RedHat,547
CATOSL-1.1,545
Cygnus-eCos-1.0,539
LPL-1.02,538
AGPL-1.0,529
CC-BY-ND-1.0,528
ZoneAlarm-EULA,510
SISSL,509
LPL-1.0,504
OCLC-2.0,493
Skype-EULA,490
IPL-1.0,488
VMWare-EULA,487
GPL-3.0-or-later,483
GPL-3.0-only,483
TrueCrypt-3.0,479
GFDL-1.2-invariants+,466
SNIA-1.1,459
CECILL-C,449
Unicode-TOU,446
LGPLLR,445
AGPL-3.0-only,442
AGPL-3.0-or-later,442
Hauppauge,433
CECILL-B,430
LGPL-2.1-or-later,428
LGPL-2.1-only,428
SISSL-1.2,427
NPOSL-3.0,424
Ferris-1.2,419
LPPL-1.1,417
CECILL-2.1,413
LPPL-1.2,413
GFDL-1.3-no-invariants-or-later,412
GFDL-1.3-only,412
GFDL-1.3-invariants-only,412
GFDL-1.3-no-invariants-only,412
GFDL-1.3-or-later,412
GFDL-1.3-invariants-or-later,412
OCCT-PL,409
EUPL-1.2,406
GFDL-1.1-invariants+,403
OCCT,402
CECILL-2.0,399
QT.Commercial,399
LGPL-2.0-only,398
LGPL-2.0-or-later,398
OSL-1.1,398
OSL-2.0,398
EUPL-1.1,396
CompuServe,393
GFDL-1.2-no-invariants-only,390
GFDL-1.2-no-invariants-or-later,390
GFDL-1.2-invariants-or-later,390
GFDL-1.2-only,390
GFDL-1.2-or-later,390
GFDL-1.2-invariants-only,390
Spikesource,383
Ascender-EULA,382
LPPL-1.3b,381
CERN-OHL-1.2,377
UCL-1.0,374
OSL-3.0,374
OSL-1.0,373
AFL-3.0,373
EUPL-1.0,372
EPL-2.0,368
AFL-2.1,363
AFL-2.0,363
LPPL-1.3,360
GPL-1.0,359
GPL-1.0+,358
CPL-1.0,358
CC-BY-3.0-US,347
Python-2.0,345
SHL-0.51,345
EPL-1.0,342
Aladdin,332
GFDL-1.1-no-invariants-only,331
GFDL-1.1-invariants-or-later,331
GFDL-1.1-only,331
GFDL-1.1-invariants-only,331
GFDL-1.1-or-later,331
GFDL-1.1-no-invariants-or-later,331
Glide,326
ImageMagick,325
Helix.RealNetworks-EULA,322
SHL-0.5,316
Intel-ACPI,308
TAPR-OHL-1.0,304
copyleft-next-0.3.0,297
copyleft-next-0.3.1,288
IPA,286
ECL-2.0,278
Net-SNMP,276
NLOD-1.0,273
Zimbra-1.3,270
YPL-1.0,270
Zimbra-1.4,270
SCEA,268
Adaptec,268
Oracle-Dev,268
LAL-1.3,267
Python-2.0.1,267
Python-2.1.3,267
YPL-1.1,266
Docbook,266
Mindterm,262
Apache-2.0,262
CAL-1.0-Combined-Work-Exception,262
GPL-2.0-or-later,260
GPL-2.0-only,260
CERN-OHL-1.1,260
Motorola,259
Python-3.1.1,257
Python-2.3.7,257
Python-2.7,257
Python-2.6.5,257
MPL-EULA-3.0,257
Python-2.4.4,257
Python-2.5,257
VIM,253
Python-2.2.3,252
Yahoo-EULA,247
AGPL-1.0-only,242
AGPL-1.0-or-later,242
MPL-EULA-2.0,240
FTL,238
LiLiQ-R-1.1,233
ATI-EULA,229
LAL-1.2,226
LiLiQ-Rplus-1.1,225
CDLA-Sharing-1.0,225
CC0-1.0,224
MulanPSL-2.0,219
MPL-EULA-1.1,218
Against-DRM,216
AMDPLPA,215
CERN-OHL-S-2.0,213
CERN-OHL-W-2.0,211
CDLA-Permissive-1.0,209
O-UDA-1.0,208
Condor-1.1,207
CDL-1.0,206
Tapjoy,204
Hippocratic-2.1,204
LPPL-1.0,202
Piriform,202
CPL-0.5,201
Epinions,199
OGDL-Taiwan-1.0,197
IJG,193
OpenSSL,192
Frameworx-1.0,191
OpenGroup,187
TORQUE-1.1,186
CC-BY-SA-2.0-UK,181
MulanPSL-1.0,179
Artistic-2.0,175
QPL-1.0,171
RedHat-EULA,168
LiLiQ-P-1.1,168
Unicode,167
OLDAP-1.4,167
GPL-1.0-or-later,167
GPL-1.0-only,167
Artistic-1.0-Perl,162
Bitstream,161
LGPL-3.0,160
OLDAP-1.3,157
FAL-1.3,157
eGenix,156
Nvidia-EULA,156
Agere,155
Broadcom-EULA,155
ClArtistic,154
Flora-1.1,154
Fedora,154
Flora,154
OpenDefinition,152
LGPL-3.0+,151
EPICS,151
OLDAP-1.2,150
OLDAP-1.1,150
AFL-1.2,143
Cisco,142
MetroLink-1.0,141
Open-PL-1.0,141
NGPL,138
NBPL-1.0,137
Libpng,136
Artistic-1.0-cl8,136
OGTSL,134
AFL-1.1,132
CNRI-Python-GPL-Compatible,127
Artistic-1.0,127
Arphic,126
Majordomo-1.1,126
Wintertree,126
DOC,126
Zend-2.0,125
CERN-OHL-P-2.0,123
SMPPL,122
BSD-Protection,121
CC-BY-SA-2.1-JP,118
OPL,117
Sendmail-8.23,117
Sendmail,117
iMatix,115
CNRI-Jython,115
Aptana-1.0,113
RealNetworks-EULA,113
Parity-7.0.0,108
PolyForm-Small-Business-1.0.0,105
Comtrol,103
DSL,102
CNRI-Python,101
PHP-3.01,101
PHP-3.0,101
W3C-19980720,101
MTLL,97
OpenMap,96
FedoraCLA,96
MS-PL,93
NRL,93
PolyForm-Noncommercial-1.0.0,93
DigiRule-FOSS-exception,92
UCWare-EULA,92
OLDAP-2.1,90
etalab-2.0,90
zlib-acknowledgement,89
ZPL-1.1,88
OGL-UK-2.0,88
Nunit,88
OLDAP-2.3,85
OLDAP-2.2.2,85
ZPL-2.0,85
MS-RL,85
OLDAP-2.2.1,84
OLDAP-2.2,84
info-zip,84
Apache-1.1,83
Condor-1.0,83
OGL-UK-3.0,83
EUDatagrid,81
VOSTROM,81
Pixware-EULA,80
OLDAP-2.5,80
OLDAP-2.4,80
PSF-2.0,77
Plexus,76
Sleepycat,76
NCGL-UK-2.0,76
C-UDA-1.0,75
SSH-OpenSSH,75
Bahyph,75
OGL-Canada-2.0,74
GPL-3.0-with-GCC-exception,74
GCC-exception-3.1,74
OFL-1.1,72
OFL-1.1-no-RFN,71
OGL-UK-1.0,71
PHP-2.02,71
Caldera,71
OASIS,71
MS-LPL,68
Entessa,67
OLDAP-2.6,67
Apache-1.0,67
ACE,66
Mibble,66
xinetd,65
ZPL-2.1,65
Multics,65
OLDAP-2.0.1,65
OLDAP-2.0,65
CLISP-exception-2.0,64
JasPer-2.0,64
SHL-2.1,64
OGC-1.0,63
OLDAP-2.8,63
OLDAP-2.7,63
DSDP,61
Qhull,61
VSL-1.0,61
JPNIC,61
HP,58
LGPL-3.0-only,57
LGPL-3.0-or-later,57
389-exception,56
Parity-6.0.0,56
Eurosym,56
WXwindows,55
SimPL-2.0,55
GPL-2.0-with-autoconf-exception,55
Ruby,55
Unicode-DFS-2015,55
Naumen,54
xpp,54
OFL-1.0,53
GPL-3.0-with-autoconf-exception,53
Autoconf-exception-3.0,51
AMPAS,51
psutils,51
M+,50
SAX-PD,50
TCL,49
Noweb,49
SWL,48
Autoconf-exception-2.0,47
BlueOak-1.0.0,47
Intel,46
bzip2-1.0.6,46
CCLRC,45
Spencer-94,45
Nvidia,45
TMate,43
Logica-OSL-1.0,42
SHL-2.0,42
W3C,42
Cube,42
AAL,41
Unicode-DFS-2016,41
Saxpath,41
OML,41
BSD-3-Clause-LBNL,41
Alfresco-FLOSS,40
gnuplot,39
Fawkes-Runtime-exception,39
Barr,39
XFree86-1.1,38
Oracle-Berkeley-DB,38
BSD-4-Clause,38
BSD-4-Clause-UC,38
SGI-B-2.0,38
Zlib,38
MakeIndex,38
BSD-3-Clause-No-Nuclear-Warranty,37
libpng-2.0,37
BSD-3-Clause-No-Nuclear-License,37
Mup,37
eCos-2.0,36
mpich2,36
AML,35
RSA-MD,35
Imlib2,35
bzip2-1.0.5,35
Giftware,35
NetCDF,34
Rdisc,34
CrystalStacker,34
JISP,33
ANTLR-PD,33
Spencer-86,33
Qwt-exception-1.0,33
H2-1.0,32
BSD-3-Clause-Attribution,32
EFL-2.0,32
BSD-3-Clause,32
W3C-20150513,32
TOSL,32
BSD-2-Clause-NetBSD,32
WxWindows-exception-3.1,32
Unidex,32
Phorum-2.0,29
FaCE,29
MitreCVW,29
BSD-2-Clause-Patent,28
MIT-enna,28
MX4J-1.0,28
Borceux,28
Wsuipa,27
libselinux-1.0,27
freertos-exception-2.0,27
ADSL,27
NCSA,26
BSD-1-Clause,26
BUSL-1.1,26
ECL-1.0,26
GPL-2.0-with-classpath-exception,26
Universal-FOSS-exception-1.0,26
Xnet,25
Spencer-99,24
BSD-2-Clause-FreeBSD,24
NIST-PD,24
NIST-PD-fallback,24
Flora-1.0,24
TU-Berlin-1.0,24
GLWTPL,24
TU-Berlin-2.0,23
CC-PDDC,22
openvpn-openssl-exception,22
OpenJDK-assembly-exception-1.0,22
OFL-1.1-RFN,22
EFL-1.0,22
HSQLDB,21
BSD-2-Clause,21
Migemo,21
Nokia-Qt-exception-1.1,21
BSD-2-Clause-Views,20
Classpath-exception-2.0,20
Adobe-2006,20
Unlicense,20
WordNet-3.0,20
RSA-Cryptoki,20
Xerox,20
FreeBSD-DOC,19
Qt-LGPL-exception-1.1,19
Public-domain,19
XSkat,19
Afmparse,19
LIBGCJ,18
Leptonica,18
HPND-sell-variant,18
HPND,18
ANTLR-PD-fallback,18
OpenMarket,18
EDL-1.0,17
GPL-2.0-with-font-exception,17
Trolltech,17
GPL-3.0+-with-classpath-exception,17
X11,17
Adobe-Glyph,17
GPL-2.0+-with-classpath-exception,17
Intel-WLAN,17
NLPL,16
PostgreSQL,16
ICU,16
Newsletr,16
TCP-wrappers,16
BSD-3-Clause-No-Nuclear-License-2014,16
ISC,16
WTFPL,16
LGPL-3.0-linking-exception,16
BSD-Source-Code,15
BSD-3-Clause-Clear,15
JSON,15
NAIST-2003,15
Font-exception-2.0,15
i2p-gpl-java-exception,15
GPL-CC-1.0,15
Abstyles,14
GPL-2.0-with-bison-exception,14
Qt-GPL-exception-1.0,14
Dual-license,14
BSD-3-Clause-Open-MPI,14
SMLNJ,14
curl,14
blessing,14
BSD-3-Clause-Modification,13
NTP,13
OFL-1.0-RFN,13
OFL-1.0-no-RFN,13
NTP-0,13
FLTK-exception,13
GL2PS,13
psfrag,13
IBM-pibs,13
diffmark,13
BSL-1.0,12
MirOS,12
Vixie,12
APAFML,12
Linux-OpenIB,12
MIT-advertising,12
MITNFA,12
OCCT-exception-1.0,12
UPL-1.0,12
Beerware,11
u-boot-exception-2.0,11
GPL-2.0-with-GCC-exception,11
MIT-CMU,11
Qmail,11
MIT-0,11
HaskellReport,11
OCaml-LGPL-linking-exception,11
Latex2e,10
0BSD,10
MIT-feh,10
Bison-exception-2.2,10
Crossword,10
BSD-Doc,10
WebM,10
NewBSD,10
mif-exception,10
libtiff,9
Bootloader-exception,9
Cryptogams,9
HTMLTIDY,9
eCos-exception-2.0,8
MIT,8
GPL-2.0+-with-bison-exception,8
Glulxe,8
CMake,8
Fair,8
GPL-3.0-linking-source-exception,8
GPL-3.0-with-bison-exception,8
LZMA-exception,8
StandardML-NJ,8
Linux-syscall-note,8
DRL-1.0,8
GPL-3.0+-with-bison-exception,8
Zed,8
WashU,8
GD,7
CMU,7
LLVM-exception,6
gnu-javamail-exception,6
GCC-exception-2.0,6
BSD-4-Clause-Shortened,6
Dotseqn,6
SSH-short,6
FSFAP,6
dvipdfm,6
LGPL-2.1+-KDE-exception,6
ClearSilver,5
MIT-open-group,5
MIT-Modern-Variant,5
Freeware,5
FSFULLR,4
BSD-3-Clause-No-Military-License,4
AdobeAFM,4
Swift-exception,4
GPL-3.0-linking-exception,4
PS-or-PDF-font-exception-20170817,4
See-file,4
FSFUL,4
MX4J,3
CATOSL,3
CDDL,3
PHP,3
BSD,3
LGPL,3
XFree86,3
BSD-3-Clause-Severability,3
OLDAP,3
CC-BY,3
ZPL,3
CECILL,3
EFL,3
GPL,3
CC-BY-SA,3
Libtool-exception,2
MIT-style,1
Void,1
No_license_found,1
MPL-1.1-style,1
BSD-style,1
FSF,1
Open-PL-0.4,1
OPL-style,1
UnclassifiedLicense,1
